  step    steps_total    steps_local    running_reward    loss
   722         344777            600              20.7  1.37720
   723         345377            600             884.0  1.54327
   724         345977            600            -170.7  1.83062
   725         346577            600             697.1  1.47208
   726         347177            600             226.1  1.32068
   727         347777            600            -176.7  1.57218
   728         348377            600             783.5  1.52863
   729         348977            600             341.6  1.39460
   730         349577            600             261.9  1.59163
   731         350177            600             687.2  1.58546
   732         350777            600             -83.3  1.55216
   733         351377            600             571.2  1.52450
   734         351977            600             -33.1  1.33038
   735         352577            600             485.2  1.40701
   736         353177            600             350.6  1.29442
   737         353777            600             701.0  1.51699
   738         354377            600             305.7  1.44355
   739         354977            600            -289.7  1.53178
   740         355577            600             799.3  1.21632
   741         356177            600             471.7  2.18707
   742         356777            600             580.2  1.39278
   743         357377            600             487.4  1.38704
   744         357977            600             -23.2  1.38582
   745         358577            600             454.9  1.39525
   746         359177            600             192.3  1.50635
   747         359777            600             712.6  1.48984
   748         360377            600             120.2  1.45844
   749         360977            600             535.3  1.74793
   750         361577            600             715.1  1.74552
   751         362177            600             158.5  1.45990
   752         362777            600             603.7  1.70050
   753         363377            600             348.4  1.62093
   754         363977            600             309.1  1.58430
   755         364577            600             260.3  1.74207
   756         365177            600             433.9  1.38099
   757         365777            600            1263.6  1.46211
   758         366377            600             396.5  1.74273
   759         366977            600            1032.9  1.34889
   760         367577            600             940.4  1.39204
   761         368177            600             -67.5  1.30078
   762         368777            600             534.2  1.38784
   763         369377            600             146.8  1.66986
   764         369977            600             369.0  1.34454
   765         370577            600             320.8  1.63222
   766         370901            324             -76.6  1.33109
   767         371501            600            -187.6  1.27194
   768         372101            600             907.0  1.42703
   769         372701            600             490.0  1.59482
   770         373301            600             492.2  1.29453
   771         373901            600             773.9  1.32983
   772         374487            586             624.6  1.37069
   773         375087            600             441.4  1.37622
   774         375687            600             -58.0  1.61003
   775         376287            600             443.0  1.45579
   776         376887            600             213.1  1.59480
   777         377487            600             337.5  1.61650
   778         378087            600             410.2  1.43355
   779         378687            600             737.0  1.42495
   780         379287            600             237.2  1.48623
   781         379887            600             146.0  1.46376
   782         380487            600             846.5  1.66809
   783         381087            600             344.2  1.57594
   784         381687            600             445.6  1.65505
   785         382287            600             109.1  1.46148
   786         382887            600             548.0  1.46400
   787         383487            600             147.3  1.36670
   788         384087            600             367.7  1.44077
   789         384687            600             215.5  1.78694
   790         385287            600              71.0  1.36051
   791         385887            600             759.0  1.53088
   792         386487            600             763.9  1.83275
   793         387087            600             518.7  1.46322
   794         387687            600             245.4  1.40307
   795         388287            600             135.3  1.66527
   796         388887            600             464.9  1.37088
   797         389487            600             864.9  1.84736
   798         390087            600             654.0  1.40046
